Name,SKU,Supplier ID,Price,Image URLs,Product URL
Alesis Command Mesh Electronic Kit,16/COMMANDMESH,,"$1,099.00","https://cdn2.bigcommerce.com/server3500/08e8a/products/3785/images/7252/CommandMeshKit_Ortho_web_01__60637.1543449448.1280.1280.png
https://cdn2.bigcommerce.com/server3500/08e8a/products/3785/images/7253/CommandModule_Ortho_web_01__90103.1543449449.1280.1280.png",https://www.drumtek.com.au/alesis-command-mesh-electronic-kit/
Alesis Crimson II Electronic Kit,16/CRIMSON,,"$1,599.00",https://cdn2.bigcommerce.com/server3500/08e8a/products/3534/images/6640/CrimsonIIMeshKit_Ortho_web__37466.1512005601.1280.1280.jpg,https://www.drumtek.com.au/alesis-crimson-ii-electronic-kit/
Alesis Nitro Mesh Electronic Kit,16/NITRO,,$699.00,"https://cdn2.bigcommerce.com/server3500/08e8a/products/3535/images/7135/LDLKNitroMeshKit_Ortho_Web_RGB__75847.1536197810.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3535/images/7136/LDLKNitroMeshKit_Angle_Web_RGB__26271.1536197811.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3535/images/7134/LDLKNitroMeshKit_Top_Web_RGB__54478.1536197807.1280.1280.jpg",https://www.drumtek.com.au/alesis-nitro-mesh-electronic-kit/
Alesis Strike Amp 12,STRIKEAMP12,,$509.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3867/images/7530/StrikeAmp_web_2560x1037__56428.1569215246.1280.1280.png,https://www.drumtek.com.au/alesis-strike-amp-12/
Alesis Strike Electronic Kit,16/STRIKE,,"$3,099.00",https://cdn2.bigcommerce.com/server3500/08e8a/products/3532/images/6635/StrikeKit_RGB__33343.1512004965.1280.1280.png,https://www.drumtek.com.au/alesis-strike-electronic-kit/
Alesis Strike Expansion Pack,XPACK,,$949.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3536/images/6644/16-STRIKE-XPACK__05458.1512006070.1280.1280.jpg,https://www.drumtek.com.au/alesis-strike-expansion-pack/
Alesis Strike Multi Pad,16/STRIKEMULTIPAD,,$999.00,"https://cdn2.bigcommerce.com/server3500/08e8a/products/3784/images/7250/strike-multipad-front-angle-web__37041.1542859723.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3784/images/7248/strike-multipad-top-down-web__86852.1542859719.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3784/images/7249/strike-multipad-angle-right-web__45583.1542859722.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3784/images/7247/strike-multipad-back-web__62592.1542859719.1280.1280.jpg",https://www.drumtek.com.au/alesis-strike-multi-pad/
Alesis Strike Pro Electronic Kit,16/STRIKE-XPACK,,"$4,048.00",https://cdn2.bigcommerce.com/server3500/08e8a/products/3533/images/6637/StrikeProKit_Ortho_RGB__13358.1512005468.1280.1280.png,https://www.drumtek.com.au/alesis-strike-pro-electronic-kit/
Alesis Surge Electronic Kit,16/SURGE,,$949.00,https://cdn2.bigcommerce.com/server3500/08e8a/products/3679/images/6986/ALE-SURGE__28570.1523425583.1280.1280.jpg,https://www.drumtek.com.au/alesis-surge-electronic-kit/
Alesis Turbo Mesh Electronic Kit,16/TURBO,,$549.00,"https://cdn2.bigcommerce.com/server3500/08e8a/products/3790/images/7273/turbo-mesh-kit-ortho-web__96361.1547602632.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3790/images/7271/turbo-mesh-drum-module-ortho-web__91887.1547602630.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3790/images/7272/turbo-mesh-kit-pedals-web__89230.1547602632.1280.1280.jpg
https://cdn2.bigcommerce.com/server3500/08e8a/products/3790/images/7274/turbo-mesh-kit-pads-ortho-web__64675.1547602634.1280.1280.jpg",https://www.drumtek.com.au/alesis-turbo-mesh-electronic-kit/
